,biase,yan1,yan2,goolam,deng1,deng2,pollen,kolodziejczyk,patel,fan,treutlein
32,0.948262859,0.802876152,0.727342379,0.543931241,0.436765141,0.463213914,0.840323256,0.14736574,0.579586297,0.123792787,0.442105292
33,0.948262859,0.802876152,0.74207714,0.465355001,0.390191107,0.396601723,0.872608826,0.432320854,0.659290511,0.030251513,0.379352796
34,0.948262859,0.802876152,0.74207714,0.666627467,0.370273044,0.363581438,0.84181113,0.592387744,0.810825055,0.121616242,0.452283354
35,0.948262859,0.802876152,0.74207714,0.37354952,0.397568714,0.395199258,0.844342282,0.390318942,0.515229675,0.034535273,0.548934002
36,0.948262859,0.802876152,0.748935657,0.846114001,0.307686057,0.431352894,0.844291364,0.14736574,0.685267049,0.030251513,0.486089386
37,0.948262859,0.867085629,0.74207714,0.508957967,0.385374142,0.481337038,0.842584337,0.445381248,0.381169289,0.026047241,0.433668615
38,0.948262859,0.802876152,0.74207714,0.622861259,0.420702398,0.45653654,0.953443916,0.400815787,0.514822476,0.034535273,0.4758212
39,0.948262859,0.867085629,0.748935657,0.545476513,0.510325984,0.361843878,0.840442065,0.14736574,0.347044694,0.066451958,0.511929296
40,0.948262859,0.802876152,0.74207714,0.499255835,0.413025896,0.459999915,0.855360079,0.401109572,0.654508408,-0.054154021,0.458727973
41,0.948262859,0.802876152,0.74207714,0.707178955,0.521810962,0.374935833,0.841386215,0.392168019,0.690310087,0.091061326,0.547161159
42,0.948262859,0.802876152,0.878752774,0.345974511,0.40296271,0.530965494,0.843310672,0.576239792,0.594678826,0.132899432,0.421057501
43,0.948262859,0.802876152,0.74207714,0.689579777,0.43007847,0.392338291,0.84989776,0.596674919,0.674007416,0.033489218,0.407713306
44,0.948262859,0.802876152,0.74207714,0.402011355,0.414087321,0.479965699,0.850192391,0.448835925,0.407811609,0.12849534,0.302860734
45,0.948262859,0.802876152,0.878752774,0.75587682,0.392736322,0.429460816,0.923506909,0.302565478,0.733718401,0.034535273,0.425697801
46,0.948262859,0.802876152,0.775898429,0.677261835,0.53295699,0.442283255,0.918015959,0.141200702,0.500597798,0.106143961,0.38032508
47,0.948262859,0.802876152,0.74207714,0.621554866,0.422367388,0.491697522,0.853913084,0.127883741,0.539661819,0.100786182,0.317329954
48,0.948262859,0.802876152,0.540775469,0.496476769,0.554949206,0.538750784,0.921944116,0.574615206,0.717016377,0.097095061,0.39155046
49,0.948262859,0.802876152,0.748935657,0.61046228,0.395315766,0.411014988,0.877650269,0.305080329,0.767241216,0.030251513,0.506318372
50,0.948262859,0.867085629,0.878752774,0.484817209,0.415032042,0.550458801,0.863946486,0.302169891,0.638705988,0.153279568,0.390673769
51,0.948262859,0.802876152,0.74207714,0.840899911,0.454366432,0.486425023,0.842584337,0.584095561,0.380665403,0.097095061,0.53017443
52,0.948262859,0.802876152,0.74207714,0.482296431,0.406910805,0.370032544,0.845359569,0.442398774,0.680048529,0.034535273,0.481848503
